pag,qty
CMC_LD_ART,6931
CMC_LD_MKT,39296
GA_BX_MKT,11255
GA_DZ_CPR,39696
GA_DZ_VP,6758
GA_LD_ART,4604
GA_LD_CPR,489203
GA_LD_MKT,4025
GA_LD_VP,109151
GA_MX_MKT,27900
GA_RS_CPR,9577
GA_ULD_ART,20282
GA_ULD_MKT,40148
GA_ULD_VP,20620
GA_ZD_MKT,7992
MM_BX_MKT,7719
MM_DZ_CPR,23417
MM_DZ_MKT,49872
MM_DZ_VP,4007
MM_GS_MKT,3740
MM_GS_VP,3133
MM_LD_CPR,20342
MM_MO_MKT,64909
MM_MX_MKT,8668
MM_TPC_MKT,4061
MT_PK_CPR,47801
OT_DZ_MKT,17449
OT_RS_CPR,22320
OT_TPC_MKT,38024
OT_WX_MKT,14778
